district,soiltype,season,avgrainfall_mm,avgtemp_c,avghumidity_%,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,Crop
Washim,Laterite,Zaid,984,20,89,7,244,25,206,Tur
Wardha,Alluvial,Kharif,1040,30,86,7,236,34,290,Tur
Amravati,Red,Kharif,280,26,61,6,294,25,263,Maize
Thane,Alluvial,Kharif,627,24,68,7,319,22,183,Maize
Sangli,Black,Rabi,1020,27,41,8,274,23,211,Sugarcane
Thane,Laterite,Zaid,1229,15,76,7,301,23,224,Sugarcane
Yavatmal,Alluvial,Zaid,431,21,76,6,213,14,169,Maize
Gadchiroli,Laterite,Zaid,986,27,40,7,205,14,189,Rice
Nanded,Red,Zaid,1027,25,71,7,303,23,237,Soybean
Chandrapur,Sandy,Rabi,1218,26,57,7,256,16,267,Sugarcane
Gadchiroli,Red,Zaid,805,27,86,8,206,23,163,Sugarcane
Nanded,Alluvial,Rabi,897,34,96,7,241,20,216,Rice
Amravati,Red,Zaid,1432,29,48,7,282,23,264,Sugarcane
Sangli,Laterite,Rabi,522,28,78,7,326,18,166,Rice
Jalgaon,Alluvial,Rabi,876,31,72,6,311,24,219,Tur
Ratnagiri,Laterite,Zaid,716,27,72,7,325,18,191,Tur
Nandurbar,Alluvial,Kharif,961,24,78,7,243,44,214,Soybean
Jalna,Red,Kharif,952,28,91,7,270,28,193,Tur
Sangli,Sandy,Rabi,1206,32,85,7,299,29,173,Cotton
Nagpur,Laterite,Rabi,1307,27,58,8,200,17,240,Wheat
Chandrapur,Alluvial,Kharif,1222,28,51,7,275,18,268,Rice
Osmanabad,Laterite,Rabi,1307,24,76,6,249,33,230,Wheat
Pune,Black,Rabi,1048,36,37,7,324,22,274,Cotton
Gondia,Alluvial,Zaid,601,33,40,7,284,35,200,Cotton
Nashik,Black,Rabi,836,32,44,6,280,23,186,Wheat
Wardha,Black,Rabi,814,26,37,6,302,24,221,Cotton
Nashik,Sandy,Kharif,714,26,70,7,307,26,205,Sugarcane
Nanded,Black,Zaid,1001,28,65,7,263,28,306,Tur
Nagpur,Laterite,Kharif,960,30,68,7,227,20,250,Maize
Latur,Red,Kharif,804,19,59,7,326,37,257,Wheat
Ratnagiri,Sandy,Kharif,1328,24,67,6,276,31,244,Cotton
Solapur,Laterite,Kharif,596,27,86,6,213,13,290,Soybean
Kolhapur,Red,Zaid,1103,26,35,7,312,29,230,Soybean
Dhule,Red,Rabi,278,28,69,8,353,41,111,Cotton
Parbhani,Laterite,Rabi,918,28,65,7,205,22,212,Maize
Solapur,Alluvial,Rabi,1066,29,38,6,300,21,234,Maize
Parbhani,Alluvial,Kharif,478,24,78,8,277,30,311,Wheat
Osmanabad,Laterite,Kharif,856,31,81,8,343,36,174,Tur
Nanded,Black,Kharif,519,25,72,7,221,17,249,Soybean
Nagpur,Black,Kharif,1003,27,78,7,277,14,234,Cotton
Satara,Laterite,Rabi,998,22,84,7,252,41,263,Maize
Amravati,Sandy,Kharif,961,28,59,7,274,14,218,Soybean
Hingoli,Alluvial,Rabi,533,29,68,6,238,27,269,Wheat
Raigad,Sandy,Kharif,1279,26,30,7,319,37,244,Wheat
Mumbai Suburban,Black,Kharif,1103,31,74,7,271,10,252,Tur
Beed,Red,Zaid,899,29,71,8,302,23,220,Rice
Ratnagiri,Sandy,Kharif,1017,28,77,7,310,28,152,Wheat
Satara,Sandy,Kharif,1145,34,54,7,337,19,237,Maize
Mumbai City,Red,Kharif,1043,19,71,8,242,25,210,Soybean
Raigad,Red,Kharif,1112,21,95,7,355,25,245,Sugarcane
Ahmednagar,Sandy,Kharif,1174,28,83,8,259,1,242,Tur
Bhandara,Black,Rabi,333,33,56,6,325,27,249,Sugarcane
Ahmednagar,Laterite,Rabi,819,29,85,6,233,16,205,Soybean
Washim,Sandy,Rabi,1142,29,61,7,299,21,272,Sugarcane
Palghar,Black,Rabi,986,22,81,7,210,19,226,Cotton
Thane,Black,Rabi,959,32,44,8,227,22,275,Cotton
Jalgaon,Alluvial,Zaid,572,30,65,7,306,26,219,Soybean
Washim,Black,Kharif,573,26,34,8,284,26,217,Sugarcane
Kolhapur,Red,Rabi,492,30,44,7,286,17,229,Rice
Gadchiroli,Alluvial,Kharif,921,35,75,6,266,29,291,Maize
Beed,Alluvial,Zaid,1147,32,43,8,377,23,247,Rice
Aurangabad,Sandy,Kharif,1346,27,67,7,324,30,258,Soybean
Nanded,Red,Kharif,1432,32,47,7,304,19,243,Tur
Wardha,Laterite,Zaid,702,32,59,7,311,28,217,Rice
Osmanabad,Black,Kharif,643,23,71,7,344,36,240,Soybean
Raigad,Black,Zaid,1212,33,63,7,310,15,241,Soybean
Aurangabad,Alluvial,Zaid,836,23,97,7,306,14,310,Rice
Washim,Sandy,Zaid,736,29,73,7,230,31,167,Rice
Thane,Black,Kharif,1259,29,82,7,309,37,252,Tur
Bhandara,Alluvial,Zaid,263,22,48,7,293,33,190,Cotton
Amravati,Laterite,Kharif,1166,24,83,7,313,31,160,Rice
Nanded,Red,Kharif,405,28,81,7,284,34,244,Soybean
Nandurbar,Black,Kharif,1138,26,55,7,285,30,237,Wheat
Jalna,Alluvial,Zaid,600,22,61,8,236,23,205,Sugarcane
Aurangabad,Red,Zaid,309,29,62,7,251,41,300,Cotton
Gondia,Alluvial,Zaid,1352,26,57,6,230,28,221,Soybean
Sindhudurg,Sandy,Kharif,1006,27,57,7,200,24,234,Sugarcane
Aurangabad,Red,Zaid,1038,26,38,8,246,30,218,Cotton
Chandrapur,Alluvial,Kharif,1191,23,85,6,267,29,244,Soybean
Beed,Laterite,Zaid,1159,32,57,6,211,28,131,Cotton
Sindhudurg,Laterite,Rabi,1162,23,62,7,322,30,234,Tur
Pune,Alluvial,Zaid,593,18,78,7,235,38,256,Rice
Chandrapur,Sandy,Kharif,1123,30,44,8,265,7,277,Soybean
Kolhapur,Alluvial,Zaid,1500,27,47,7,279,23,218,Wheat
Raigad,Sandy,Zaid,819,32,47,7,250,31,203,Sugarcane
Nanded,Black,Kharif,767,36,95,8,332,20,175,Wheat
Nanded,Alluvial,Zaid,737,34,68,8,141,28,225,Cotton
Mumbai Suburban,Laterite,Rabi,1136,28,58,7,252,33,225,Maize
Nashik,Alluvial,Rabi,423,33,86,6,316,32,231,Tur
Gondia,Alluvial,Kharif,560,27,98,7,264,11,165,Soybean
Aurangabad,Alluvial,Kharif,1426,31,55,5,229,31,320,Rice
Satara,Alluvial,Kharif,720,27,81,6,315,25,293,Sugarcane
Thane,Black,Zaid,1281,30,73,8,322,23,266,Sugarcane
Nandurbar,Black,Kharif,866,33,39,7,315,9,263,Sugarcane
Mumbai City,Laterite,Rabi,832,32,81,7,314,34,296,Tur
Latur,Sandy,Kharif,870,23,38,7,275,23,237,Rice
Aurangabad,Laterite,Kharif,1076,27,65,7,303,10,215,Sugarcane
Hingoli,Alluvial,Zaid,880,17,53,7,322,31,245,Tur
Hingoli,Laterite,Rabi,1380,22,51,7,297,20,195,Sugarcane
Nanded,Red,Kharif,824,30,77,6,343,22,223,Sugarcane
Satara,Red,Rabi,752,29,81,7,198,23,253,Maize
Akola,Black,Kharif,1294,24,63,7,250,27,220,Cotton
Osmanabad,Sandy,Zaid,619,29,45,7,300,24,222,Cotton
Latur,Laterite,Rabi,916,32,73,7,277,25,167,Soybean
Pune,Red,Kharif,895,21,51,7,315,19,281,Sugarcane
Ratnagiri,Alluvial,Kharif,904,40,56,7,197,40,172,Maize
Osmanabad,Alluvial,Kharif,648,33,53,7,201,29,118,Tur
Hingoli,Laterite,Rabi,661,31,64,7,281,21,335,Maize
Raigad,Alluvial,Zaid,1063,34,77,6,248,17,212,Cotton
Jalgaon,Sandy,Kharif,1287,30,62,7,258,14,250,Maize
Thane,Sandy,Rabi,618,30,77,7,220,19,317,Tur
Dhule,Alluvial,Rabi,1508,26,68,6,258,25,221,Tur
Akola,Black,Rabi,452,34,74,7,295,21,166,Tur
Akola,Alluvial,Kharif,806,31,62,6,275,34,106,Sugarcane
Palghar,Black,Kharif,1238,27,77,7,346,52,272,Soybean
Pune,Laterite,Zaid,1290,29,69,7,304,32,208,Cotton
Solapur,Black,Kharif,759,25,69,7,199,32,214,Maize
Osmanabad,Black,Rabi,711,35,66,7,286,19,256,Maize
Yavatmal,Black,Rabi,673,30,54,7,297,20,147,Rice
Chandrapur,Red,Rabi,986,25,50,7,249,26,296,Rice
Bhandara,Black,Kharif,829,26,68,7,345,30,167,Rice
Parbhani,Laterite,Rabi,634,19,58,7,259,29,198,Soybean
Wardha,Red,Zaid,965,33,48,7,241,25,238,Rice
Kolhapur,Alluvial,Rabi,897,25,63,7,272,13,335,Sugarcane
Solapur,Alluvial,Rabi,805,28,69,7,219,16,308,Tur
Wardha,Black,Rabi,616,26,53,7,248,19,237,Rice
Hingoli,Red,Rabi,917,36,70,7,275,17,226,Tur
Mumbai Suburban,Laterite,Rabi,1182,28,61,7,260,26,279,Wheat
Beed,Alluvial,Zaid,1738,30,65,7,291,32,237,Tur
Yavatmal,Black,Rabi,1337,24,89,8,316,34,208,Sugarcane
Raigad,Laterite,Kharif,1154,31,71,7,264,32,196,Cotton
Parbhani,Black,Rabi,1424,37,67,8,282,30,270,Sugarcane
Solapur,Sandy,Kharif,867,31,84,6,251,25,308,Maize
Raigad,Sandy,Zaid,648,27,72,7,357,34,198,Soybean
Pune,Alluvial,Rabi,1363,25,67,7,247,37,254,Rice
Dhule,Red,Zaid,940,24,46,7,301,26,303,Wheat
Dhule,Alluvial,Zaid,1159,24,91,8,148,30,289,Sugarcane
Nanded,Sandy,Rabi,837,27,74,7,251,17,214,Maize
Palghar,Sandy,Kharif,674,25,72,7,291,28,213,Tur
Sangli,Red,Kharif,1023,23,73,6,227,15,255,Wheat
Sindhudurg,Laterite,Zaid,1126,27,80,8,242,17,207,Soybean
Wardha,Red,Zaid,961,32,77,7,315,18,218,Tur
Hingoli,Sandy,Rabi,711,29,56,7,279,23,225,Sugarcane
Mumbai City,Laterite,Rabi,569,27,49,7,286,19,198,Wheat
Parbhani,Laterite,Rabi,1156,30,69,7,207,10,171,Tur
Solapur,Sandy,Rabi,795,33,85,7,180,36,161,Soybean
Amravati,Black,Rabi,918,32,69,7,228,27,181,Soybean
Dhule,Red,Zaid,948,32,76,8,310,9,116,Soybean
Hingoli,Black,Rabi,1216,26,41,7,290,38,176,Cotton
Thane,Black,Rabi,578,26,58,7,285,26,206,Sugarcane
Jalna,Alluvial,Kharif,1111,34,74,6,298,17,254,Soybean
Akola,Sandy,Rabi,961,26,90,6,275,28,250,Cotton
Yavatmal,Red,Zaid,1166,32,31,7,231,18,301,Soybean
Gondia,Alluvial,Zaid,1606,25,106,7,257,17,157,Soybean
Buldhana,Sandy,Kharif,1153,26,70,7,236,32,230,Rice
Ahmednagar,Alluvial,Zaid,1393,18,84,6,234,26,180,Maize
Kolhapur,Alluvial,Rabi,1442,30,65,8,280,8,228,Tur
Gondia,Red,Rabi,983,28,48,6,251,11,239,Sugarcane
Kolhapur,Sandy,Zaid,713,29,52,7,246,38,287,Soybean
Ratnagiri,Alluvial,Zaid,42,21,64,7,274,29,288,Sugarcane
Ratnagiri,Black,Kharif,932,26,86,6,306,20,227,Sugarcane
Osmanabad,Laterite,Kharif,1222,30,51,7,340,29,239,Rice
Nagpur,Red,Kharif,1323,18,70,7,306,27,256,Rice
Mumbai Suburban,Black,Rabi,963,32,55,7,293,29,278,Wheat
Beed,Red,Kharif,665,34,57,7,270,38,216,Cotton
Palghar,Sandy,Rabi,1162,30,79,7,313,40,162,Rice
Yavatmal,Red,Kharif,1327,19,49,8,220,26,219,Maize
Satara,Laterite,Zaid,1140,30,53,7,318,15,229,Cotton
Sindhudurg,Black,Zaid,614,32,102,7,356,19,156,Soybean
Nagpur,Red,Kharif,1617,27,91,7,278,43,146,Tur
Ahmednagar,Black,Kharif,771,32,65,6,282,28,277,Rice
Satara,Laterite,Kharif,621,27,54,8,247,50,222,Cotton
Sindhudurg,Red,Kharif,1674,23,65,6,284,19,313,Sugarcane
Nashik,Sandy,Rabi,1221,31,71,7,220,31,239,Tur
Bhandara,Laterite,Zaid,724,30,68,6,309,34,270,Wheat
Solapur,Sandy,Rabi,1172,31,64,7,224,30,212,Cotton
Jalna,Red,Rabi,487,33,49,7,267,31,169,Sugarcane
Gondia,Red,Zaid,1002,21,53,7,354,16,237,Soybean
Hingoli,Black,Rabi,1167,33,61,7,230,23,238,Tur
Ahmednagar,Alluvial,Rabi,1281,37,62,7,317,45,240,Sugarcane
Sangli,Alluvial,Kharif,1090,31,77,8,192,40,273,Rice
Osmanabad,Black,Zaid,1313,20,58,7,290,24,242,Soybean
Raigad,Alluvial,Kharif,687,22,75,7,297,36,235,Maize
Bhandara,Red,Kharif,1252,20,79,8,319,18,211,Soybean
Gondia,Sandy,Rabi,1292,30,62,7,283,32,214,Cotton
Ratnagiri,Red,Zaid,1620,26,60,8,271,35,247,Sugarcane
Kolhapur,Laterite,Rabi,1195,34,62,7,289,8,206,Cotton
Washim,Sandy,Kharif,954,18,53,7,235,44,190,Maize
Buldhana,Black,Rabi,1098,33,67,6,331,9,257,Tur
Hingoli,Sandy,Kharif,797,27,72,7,266,20,187,Tur
Raigad,Black,Kharif,1022,28,68,7,224,17,275,Tur
Kolhapur,Sandy,Kharif,533,24,49,7,264,25,194,Maize
Osmanabad,Laterite,Rabi,1365,23,88,7,297,24,227,Sugarcane
Yavatmal,Sandy,Zaid,1145,25,69,7,307,31,265,Wheat
Sindhudurg,Sandy,Zaid,1049,32,28,6,242,27,217,Wheat
Beed,Sandy,Kharif,1315,34,67,7,331,27,315,Tur
Osmanabad,Black,Kharif,972,26,32,7,253,24,241,Tur
Akola,Red,Rabi,1046,29,41,8,228,34,251,Wheat
Nandurbar,Red,Zaid,983,34,46,7,349,3,220,Soybean
Sindhudurg,Laterite,Zaid,952,31,81,6,247,30,198,Maize
Chandrapur,Laterite,Kharif,762,28,70,6,391,30,194,Wheat
Washim,Red,Zaid,840,22,64,7,220,14,230,Rice
Sangli,Red,Rabi,931,33,57,7,233,26,196,Soybean
Ratnagiri,Sandy,Kharif,605,24,70,7,286,34,271,Sugarcane
Akola,Laterite,Kharif,601,29,89,7,228,35,152,Soybean
Nagpur,Laterite,Kharif,865,28,61,6,324,26,177,Wheat
Sindhudurg,Sandy,Kharif,1067,23,40,7,305,28,242,Rice
Palghar,Alluvial,Rabi,1122,23,58,7,284,11,253,Maize
Solapur,Sandy,Kharif,1146,28,48,6,198,13,276,Tur
Bhandara,Black,Kharif,793,28,57,7,243,26,191,Sugarcane
Dhule,Sandy,Zaid,797,35,60,6,271,34,248,Tur
Sangli,Black,Kharif,1002,25,75,6,264,30,222,Maize
Satara,Laterite,Rabi,920,22,79,6,254,18,204,Rice
Latur,Black,Kharif,804,33,68,7,254,30,193,Cotton
Nandurbar,Laterite,Zaid,1688,30,54,7,283,34,234,Sugarcane
Gondia,Sandy,Zaid,833,30,62,7,262,5,162,Maize
Sangli,Black,Zaid,927,31,93,6,257,33,171,Cotton
Mumbai Suburban,Alluvial,Rabi,806,32,82,7,202,26,233,Wheat
Mumbai Suburban,Black,Kharif,1114,26,85,6,343,18,242,Maize
Bhandara,Sandy,Zaid,151,27,58,7,288,21,217,Maize
Pune,Laterite,Zaid,1079,31,71,7,292,18,245,Cotton
Sangli,Black,Zaid,938,30,87,7,247,26,304,Sugarcane
Parbhani,Black,Rabi,774,29,71,7,285,32,170,Rice
Solapur,Sandy,Zaid,985,26,66,6,235,18,190,Rice
Kolhapur,Black,Kharif,541,25,75,7,264,26,223,Tur
Ahmednagar,Black,Zaid,846,25,54,7,260,28,244,Wheat
Solapur,Alluvial,Zaid,1682,27,77,7,401,17,233,Cotton
Palghar,Red,Zaid,452,31,53,6,246,32,229,Maize
Yavatmal,Laterite,Kharif,886,24,82,6,209,12,199,Rice
Sindhudurg,Black,Rabi,1683,28,63,7,336,24,218,Rice
Buldhana,Alluvial,Rabi,935,25,93,6,229,25,230,Maize
Satara,Laterite,Rabi,1398,23,88,7,285,20,217,Tur
Ahmednagar,Sandy,Zaid,719,30,63,7,262,6,256,Tur
Satara,Sandy,Rabi,1125,29,47,7,315,25,184,Rice
Bhandara,Alluvial,Zaid,1367,25,61,7,294,38,182,Cotton
Sindhudurg,Alluvial,Zaid,989,25,85,7,333,31,195,Maize
Ahmednagar,Laterite,Rabi,1021,19,63,7,340,39,300,Rice
Sangli,Sandy,Zaid,1296,25,68,8,233,23,179,Rice
Palghar,Black,Rabi,1164,32,49,7,274,32,230,Soybean
Amravati,Sandy,Rabi,478,37,70,7,268,30,211,Cotton
Wardha,Red,Rabi,750,25,70,7,223,26,219,Tur
Ratnagiri,Alluvial,Rabi,812,31,69,7,241,27,310,Rice
Pune,Laterite,Kharif,1485,30,27,6,252,23,235,Maize
Ratnagiri,Red,Zaid,1190,29,70,8,280,30,246,Cotton
Washim,Black,Rabi,1030,27,115,7,199,34,203,Sugarcane
Hingoli,Laterite,Kharif,693,24,41,7,331,8,145,Wheat
Palghar,Alluvial,Kharif,1046,21,66,7,288,31,248,Sugarcane
Sangli,Alluvial,Kharif,886,27,50,6,235,22,186,Sugarcane
Raigad,Alluvial,Rabi,399,25,49,7,311,12,194,Wheat
Raigad,Laterite,Zaid,1052,26,78,6,317,37,286,Soybean
Parbhani,Sandy,Kharif,1433,32,83,6,254,9,187,Maize
Osmanabad,Black,Zaid,430,22,52,6,217,30,246,Sugarcane
Beed,Sandy,Zaid,1044,24,84,6,262,15,199,Soybean
Satara,Laterite,Zaid,870,28,55,7,280,27,240,Rice
Washim,Black,Rabi,1175,35,76,7,223,34,297,Cotton
Raigad,Laterite,Kharif,969,14,105,6,326,24,152,Wheat
Latur,Red,Rabi,755,26,71,7,310,21,188,Sugarcane
Akola,Laterite,Rabi,510,25,49,7,304,35,202,Sugarcane
Gondia,Alluvial,Zaid,434,24,67,7,289,22,248,Soybean
Ahmednagar,Alluvial,Rabi,1037,31,47,7,262,11,188,Sugarcane
Nandurbar,Laterite,Kharif,1144,25,68,7,291,21,218,Tur
Bhandara,Laterite,Kharif,915,24,83,7,223,22,162,Maize
Yavatmal,Sandy,Zaid,712,29,63,8,260,24,168,Tur
Sindhudurg,Laterite,Zaid,784,28,68,7,273,22,170,Tur
Solapur,Red,Rabi,1316,26,76,7,255,24,182,Cotton
Satara,Red,Kharif,1304,28,76,6,310,27,225,Cotton
Ahmednagar,Alluvial,Kharif,1647,27,63,7,221,21,207,Wheat
Satara,Sandy,Rabi,1607,27,74,6,305,25,192,Rice
Hingoli,Red,Kharif,1156,31,69,6,275,19,316,Tur
Solapur,Sandy,Rabi,335,24,84,7,269,15,243,Wheat
Bhandara,Laterite,Kharif,764,22,87,7,266,30,241,Wheat
Kolhapur,Sandy,Rabi,1021,29,81,7,220,11,250,Soybean
Beed,Red,Zaid,1165,28,80,7,242,29,286,Tur
Mumbai Suburban,Red,Kharif,896,30,41,8,283,20,169,Soybean
Yavatmal,Alluvial,Kharif,713,28,78,7,284,26,188,Sugarcane
Kolhapur,Laterite,Rabi,1208,29,68,7,269,15,245,Maize
Washim,Sandy,Rabi,1558,37,87,7,332,16,198,Soybean
Osmanabad,Sandy,Rabi,852,27,91,6,212,23,203,Sugarcane
Sangli,Sandy,Zaid,711,35,70,7,300,29,201,Sugarcane
Bhandara,Red,Kharif,1352,22,57,6,281,16,233,Soybean
Sindhudurg,Red,Zaid,862,30,60,7,269,45,172,Soybean
Buldhana,Red,Zaid,1382,29,51,6,297,27,198,Wheat
Akola,Sandy,Kharif,1106,28,58,7,378,31,202,Maize
Beed,Red,Zaid,664,32,47,6,320,20,266,Soybean
Kolhapur,Sandy,Rabi,788,30,79,7,358,22,196,Sugarcane
Jalna,Red,Rabi,855,30,59,6,305,23,252,Maize
Sangli,Red,Kharif,1009,30,71,7,359,22,188,Cotton
Parbhani,Laterite,Kharif,529,26,68,8,279,35,191,Maize
Ratnagiri,Laterite,Kharif,1189,22,74,6,248,39,239,Sugarcane
Gadchiroli,Sandy,Zaid,1056,29,30,7,248,27,224,Tur
Solapur,Sandy,Rabi,503,27,75,7,311,27,221,Soybean
Beed,Sandy,Kharif,704,24,51,7,259,26,330,Tur
Bhandara,Black,Rabi,1194,22,78,8,247,27,259,Rice
Bhandara,Laterite,Rabi,1388,27,68,7,237,10,261,Cotton
Washim,Sandy,Zaid,630,30,83,7,281,21,174,Cotton
Aurangabad,Alluvial,Zaid,660,26,69,7,299,25,226,Cotton
Buldhana,Sandy,Kharif,525,25,67,7,316,23,219,Tur
Nashik,Sandy,Kharif,578,29,82,8,252,14,288,Sugarcane
Washim,Red,Rabi,709,30,55,7,251,23,267,Wheat
Thane,Red,Rabi,940,27,60,6,236,31,197,Maize
Palghar,Sandy,Kharif,955,35,72,7,336,35,312,Wheat
Thane,Red,Zaid,756,39,65,7,268,24,214,Rice
Hingoli,Red,Rabi,1052,28,57,6,271,17,231,Soybean
Chandrapur,Laterite,Zaid,994,28,65,7,281,23,210,Soybean
Sindhudurg,Black,Rabi,964,23,67,7,266,19,174,Cotton
Jalna,Sandy,Rabi,793,29,56,7,225,19,243,Tur
Latur,Sandy,Zaid,961,29,63,7,232,21,175,Soybean
Parbhani,Laterite,Zaid,979,22,80,8,270,10,256,Rice
Hingoli,Red,Kharif,418,22,88,7,275,25,199,Rice
Raigad,Red,Rabi,1101,26,77,7,292,35,236,Sugarcane
Sangli,Red,Zaid,1204,25,76,6,218,22,179,Wheat
Hingoli,Red,Kharif,1410,29,79,7,258,13,198,Rice
Raigad,Alluvial,Kharif,1121,37,50,7,247,31,241,Wheat
Jalna,Sandy,Zaid,1521,28,78,7,278,20,173,Maize
Aurangabad,Alluvial,Kharif,927,26,59,7,308,13,200,Soybean
Gondia,Black,Zaid,1089,24,78,7,358,17,215,Soybean
Ahmednagar,Alluvial,Kharif,1060,28,89,8,221,21,181,Sugarcane
Nanded,Alluvial,Kharif,935,32,53,7,278,40,248,Wheat
Bhandara,Alluvial,Kharif,910,31,66,6,276,28,228,Rice
Ahmednagar,Alluvial,Rabi,1633,10,65,7,268,31,211,Cotton
Sangli,Black,Rabi,532,27,79,7,240,21,188,Soybean
Kolhapur,Black,Kharif,1592,35,48,7,302,30,259,Cotton
Parbhani,Alluvial,Kharif,1340,36,74,6,367,19,240,Cotton
Chandrapur,Alluvial,Kharif,632,31,63,7,284,40,237,Sugarcane
Latur,Red,Kharif,1301,28,76,7,318,15,206,Wheat
Hingoli,Laterite,Zaid,1326,28,48,6,304,19,234,Rice
Nanded,Red,Kharif,870,34,78,8,214,20,235,Rice
Raigad,Alluvial,Kharif,920,31,49,8,191,46,199,Rice
Sindhudurg,Black,Rabi,532,34,80,7,206,28,291,Tur
Nashik,Black,Rabi,929,18,65,7,289,29,241,Cotton
Gadchiroli,Alluvial,Rabi,1149,23,61,7,249,24,219,Tur
Raigad,Red,Rabi,1362,29,70,7,233,39,275,Maize
Solapur,Alluvial,Kharif,1150,23,74,7,270,21,158,Sugarcane
Satara,Black,Rabi,718,25,79,7,315,21,302,Cotton
Jalgaon,Sandy,Kharif,1049,19,69,6,288,25,264,Maize
Solapur,Sandy,Zaid,1199,24,72,6,227,14,289,Sugarcane
Nandurbar,Red,Kharif,1260,30,68,7,201,14,219,Wheat
Aurangabad,Sandy,Kharif,1132,27,60,7,349,10,148,Wheat
Aurangabad,Laterite,Kharif,1366,26,70,7,233,20,242,Cotton
Raigad,Sandy,Zaid,1875,30,59,8,203,24,192,Tur
Buldhana,Laterite,Zaid,957,27,70,7,238,24,201,Sugarcane
Washim,Laterite,Kharif,1102,31,68,6,325,32,246,Tur
Palghar,Alluvial,Kharif,800,33,73,6,259,9,262,Wheat
Ratnagiri,Black,Zaid,457,19,77,6,224,36,210,Wheat
Ratnagiri,Sandy,Kharif,1090,28,73,7,309,10,218,Rice
Latur,Laterite,Rabi,487,24,65,7,211,31,231,Soybean
Nandurbar,Laterite,Kharif,1131,27,74,7,287,15,200,Wheat
Bhandara,Black,Rabi,751,20,64,8,311,31,267,Wheat
Yavatmal,Sandy,Zaid,975,26,50,6,275,23,178,Soybean
Nashik,Alluvial,Rabi,1157,26,82,7,295,22,179,Wheat
Nagpur,Black,Rabi,1194,37,66,6,264,32,253,Rice
Solapur,Alluvial,Rabi,707,29,74,7,348,32,217,Cotton
Wardha,Sandy,Rabi,1353,28,79,6,334,27,239,Tur
Yavatmal,Black,Rabi,1288,33,85,7,318,23,247,Soybean
Beed,Laterite,Kharif,930,20,55,7,363,15,217,Tur
Buldhana,Red,Rabi,615,32,44,7,286,26,231,Tur
Kolhapur,Alluvial,Kharif,1331,31,47,8,277,18,229,Soybean
Palghar,Red,Zaid,1094,23,68,7,243,29,137,Wheat
Akola,Red,Rabi,1310,26,54,8,275,21,270,Maize
Nanded,Sandy,Zaid,1325,24,56,6,280,26,154,Wheat
Solapur,Alluvial,Zaid,540,34,54,7,250,22,198,Soybean
Washim,Laterite,Zaid,614,24,57,7,282,19,240,Wheat
Washim,Sandy,Zaid,1089,26,58,7,249,32,231,Soybean
Latur,Red,Rabi,881,35,74,7,276,28,232,Tur
Thane,Black,Rabi,1322,27,35,7,226,24,242,Soybean
Sindhudurg,Laterite,Kharif,727,29,72,7,238,21,237,Rice
Thane,Laterite,Rabi,922,26,81,7,292,26,220,Maize
Hingoli,Red,Zaid,947,18,48,7,273,20,223,Cotton
Pune,Red,Zaid,1713,25,52,7,200,12,291,Rice
Gondia,Black,Zaid,1363,23,51,7,219,12,213,Wheat
Nandurbar,Alluvial,Zaid,541,34,73,8,315,39,209,Soybean
Sindhudurg,Red,Rabi,1282,21,54,6,262,16,298,Soybean
Jalna,Laterite,Kharif,1194,24,65,9,308,42,152,Wheat
Satara,Alluvial,Rabi,921,21,49,5,334,17,195,Tur
Chandrapur,Laterite,Zaid,842,25,95,8,208,35,183,Rice
Beed,Black,Zaid,976,31,67,6,219,42,261,Sugarcane
Latur,Red,Zaid,927,30,48,7,229,13,247,Cotton
Kolhapur,Sandy,Zaid,996,32,65,7,219,38,163,Soybean
Palghar,Sandy,Rabi,842,27,55,7,354,21,233,Sugarcane
Ahmednagar,Sandy,Kharif,301,34,84,8,203,19,251,Rice
Kolhapur,Laterite,Kharif,802,32,59,6,228,25,210,Maize
Beed,Alluvial,Rabi,920,36,69,7,201,41,174,Maize
Nashik,Red,Rabi,382,28,85,7,216,34,209,Wheat
Ratnagiri,Sandy,Rabi,1302,31,55,7,273,15,244,Wheat
Ratnagiri,Sandy,Kharif,1146,29,71,7,275,5,190,Wheat
Gondia,Laterite,Zaid,540,26,63,8,284,26,206,Cotton
Buldhana,Red,Zaid,1594,25,52,8,235,25,217,Tur
Ratnagiri,Red,Zaid,1296,36,62,8,199,30,192,Tur
Pune,Alluvial,Rabi,886,32,91,7,231,7,271,Wheat
Wardha,Alluvial,Rabi,822,28,50,7,240,32,274,Tur
Thane,Sandy,Rabi,757,30,61,6,244,33,245,Rice
Solapur,Red,Kharif,557,30,55,7,210,17,263,Rice
Nagpur,Alluvial,Rabi,1200,30,79,7,334,42,209,Maize
Ratnagiri,Black,Rabi,855,26,54,6,282,19,207,Soybean
Palghar,Black,Rabi,853,28,46,8,356,32,281,Tur
Pune,Sandy,Kharif,772,30,61,7,273,30,240,Soybean
Mumbai City,Black,Zaid,1240,25,76,6,295,22,253,Maize
Yavatmal,Red,Rabi,638,30,96,7,306,32,171,Tur
Hingoli,Black,Zaid,825,20,79,8,285,31,200,Soybean
Chandrapur,Black,Kharif,1461,18,63,8,384,32,202,Tur
Yavatmal,Black,Zaid,451,28,71,7,252,8,156,Rice
Sindhudurg,Black,Kharif,784,28,70,8,320,34,234,Rice
Parbhani,Black,Rabi,1048,29,92,8,240,22,243,Cotton
